Title,Domain,Year,Organization,Keywords,TRL
SYSTEM AND METHOD FOR OPERATING ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING MODEL,AI,2021,KOREA ELECTRONICS TECHNOLOGY,"The present invention relates to a method for operating an artificial intelligence and machine learning (AI/ML) model in a federated learning (FL) client including an AI/ML service process unit, a local AI/ML model storage and an FL process unit. An embodiment of the present invention comprises the steps of: the AI/ML service process unit requesting the download of an AI/ML model from the AI/ML model storage; storing the AI/ML model in the local AI/ML model storage after the AI/ML model is downloaded in response to the request of download; the AI/ML service process unit reading and storing the AI/ML model from the local AI/ML model storage to provide a service; the FL process unit determining whether or not performance conditions for federated learning are satisfied; reading and storing the AI/ML model from the local AI/ML model storage to perform federated learning as the performance conditions for FL are satisfied; and providing, to an FL server, the AI/ML model renewed as the performance of the federated learning is finished. Therefore, provided are a system and a method for operating an AI/ML model wherein an AI/ML service and an FL service can be operated efficiently.",3
TRUSTWORTHY LEVEL CONTROL OF AI/ML MODELS TRAINED IN WIRELESS NETWORKS,AI,2024,APPLE INC,"An artificial intelligence (AI) agent configured to collect a dataset for training an AI or machine learning (ML) (AI/ML) model, train the AI/ML model with the collected dataset, determine whether the trained AI/ML model is trustworthy, wherein the determining is performed by evaluating one or more metrics related to a trustworthy level for the AI/ML model trained by the AI agent and determine, based on the determining whether the trained AI/ML model is trustworthy, whether to report the trained AI/ML model to an AI manager.",6
DEPLOYING ARTIFICIAL INTELLIGENCE (AI) MODELS AT LOCAL SITES,AI,2024,IBM,"Provided are techniques for deploying AI models at local sites. A selection of an Artificial Intelligence (AI) model template is received at a local site, where the AI model template is created at a remote site and is packaged in a transportable container. The AI model template in the transportable container is retrieved. A lifecycle of an AI model is orchestrated by: instantiating an AI model from the AI model template, retrieving data from one or more local data sources, training the AI model using the data, deploying the AI model as a service, monitoring the AI model for drift, and, in response to identifying drift, re-training the AI model.",8
"Package deployment method, system and device for distributed AI application and storage medium",AI,2022,SUZHOU INSPUR INTELLIGENT TECH CO LTD,"The invention discloses a packaging deployment method, system and device for a distributed AI application and a storage medium, and is applied to the technical field of distributed clusters, and the method comprises the steps: judging whether an application mirror image of the AI application starts to be constructed from a model file according to a packaging configuration file of the AI application; if yes, constructing an application mirror image of the AI application based on an operation framework of the AI application; otherwise, acquiring an application mirror image of the AI application; judging whether the dependent mirror image of the AI application is automatically discovered or not according to the packaging configuration file; if yes, starting the container cluster to run the AI application, and downloading each dependent mirror image of the AI application; otherwise, obtaining each dependent mirror image of the AI application; packaging the application mirror image of the AI application, each dependent mirror image and the deployment file into an AI application package; and based on the AI application package, migrating the AI application to the target cluster and running the AI application. By applying the scheme provided by the invention, the packaging deployment of the distributed AI application can be conveniently and efficiently realized.",7
Course generation method and device and course display method and device,AI,2022,SHANGHAI COMMERCIAL SOUP INTELLIGENT SCIENCE AND TECH LIMITED COMPANY,"The invention provides a course generation method and device and a course display method and device, and the method comprises the steps: responding to a card selection operation, and selecting a target AI experience card matched with a target AI course from at least one pre-configured AI experience card; wherein each AI experience card corresponds to an AI application program, and the AI application program is used for calling a neural network corresponding to the AI experience card to carry out data processing; inserting the target AI experience card into the course content of the target AI course; and in response to a course publishing operation, publishing a target AI course including the target AI experience card.",6
"USING ARTIFICIAL INTELLIGENCE (""AI "") TO CUSTOMIZE CALL CENTER QUESTIONS FOR USE WITH CUSTOMER AUTHENTICATION TECHNIQUES",AI,2025,BANK OF AMERICA,Systems and methods for supporting artificial intelligence (“AI”) customer service interactions between a customer service agent operating on an AI platform at a call center and a customer using an AI customer device are provided. Methods may include activating an AI session between the customer service agent and the customer. Methods may include authenticating the AI session between the customer service agent and the customer. Methods may include receiving a selection of AI questions from the AI platform and receiving answers to those AI questions via the AI customer device. Methods may include processing a co-browsing AI session request. Methods may include initiating the AI session between the customer service agent and the customer based on authentication of the answers to the AI questions.,6
AI Feedback-generating AI ROBOT system,AI,2025,KIDARI AZERSI CO LTD,"본 발명의 일 측면에 따른 메타버스 로딩 AI 로봇 시스템은 메타버스 서비스 내용이 출력되고 선택 데이터를 입력하는 로봇; 및 상기 로봇에 의해 메타버스 서비스가 이용하도록 서비스를 제어하는 서비스 서버;을 포함하고, 상기 로봇은 가상 여행지를 선택하고 상기 서비스 서버는 복수개의 다른 사용자를 같은 가상 여행지에 출력하여 교육을 수행한다.",6
AI AI Flame Tracking Fire Extinguisher,AI,2023,"MOON BEYOUNG CHEUL,,BONG JUNG RAE","The present invention relates to an AI flame tracking fire extinguisher, which can rapidly suppress a fire at an early stage, comprising: a tracking spray body; a tank coupling unit; a fire detection unit; a tank connector; a discharge driving unit; a body rotation unit; a fire extinguishing fluid nozzle; a fire extinguishing fluid supply pipe; a nozzle upper/lower rotation unit; a control unit; a control unit; and a power unit.",9
AI AI BASED FISH FINDER SYSTEM,AI,2023,RIAN CO LTD,"The present invention relates to an AI-based fish detection system. An objective to be solved is to label fish images using an artificial intelligence model previously trained using various fish images as learning data and classify the fish images by fish species so that the fish images can be easily applied to existing fish detection software. For example, an AI-based fish detection system is disclosed, wherein the AI-based fish detection system comprises: a fish image collection module which collects fish images taken through web crawling or optical means installed on a fishing boat; an artificial intelligence analysis module which labels the fish images by fish species, performs learning on the labeled fish images through an artificial intelligence learning model, and then generates a weight file; and a software integration module which integrates the generated weight file into preset fish detection software.",2
AI SYSTEM AND OPERATION METHOD OF AI SYSTEM,AI,2022,SEMICONDUCTOR ENERGY LAB,"A system that creates a net list from a circuit diagram or a document showing a circuit structure is provided. The system is an AI system including a first electronic device. The first electronic device includes an input/output interface, a control portion, and a first conversion portion. The input/output interface is electrically connected to the control portion, and the first conversion portion is electrically connected to the control portion. The input/output interface has a function of transmitting input data generated by a user's operation to the control portion, and the control portion has a function of transmitting the input data to the first conversion portion. Note that the input data is a circuit diagram illustrating a circuit structure or a document file showing the circuit structure. The first conversion portion includes a circuit where a neural network is formed, and the input data is converted to a net list with the use of the neural network of the first conversion portion.",5
"QUANTUM COMPUTING PROGRAM, QUANTUM COMPUTING APPARATUS, AND QUANTUM COMPUTING METHOD",quantum-computing,2023,NAT UNIV YOKOHAMA,"To obtain a solution even when the coefficients of a high-order unconstrained binary optimization problem include real numbers.SOLUTION: A quantum computing program randomly selects the number of times to apply the Grover operator to a qubit indicating a value of an objective function from among natural numbers less than or equal to a predetermined natural number or zero; by applying the Grover operator to the qubits, a quantum computing process is performed to derive a variable that has the possibility of making the value of the objective function smaller than a predetermined threshold; the value of the objective function when the variable is given is calculated using a classical computer; if the value of the objective function when the variable is given is less than a predetermined threshold, the given threshold is updated to the value of the objective function when the variable is given; and if the value of the objective function when the variable is given is greater than or equal to a predetermined threshold, the process of updating the predetermined natural number to a larger natural number is repeated until a predetermined condition is met.SELECTED DRAWING: Figure 1",9
"QUANTUM CIRCUIT, QUANTUM COMPUTING ELEMENT, QUANTUM COMPUTING SYSTEM, AND QUANTUM COMPUTING METHOD",quantum-computing,2023,AIST,"Provided are a quantum circuit, a quantum computing element, a quantum computing system, and a quantum computing method, which are capable of physical reservoir computing with high learning efficiency. A quantum circuit 100 comprises a plurality of superconducting lines 101, 102, 103, 104 that form quantum bits depending on an electromagnetic state, and that interact with each other, a plurality of lines L11, L12, L13, L14 electromagnetically connected to the plurality of superconducting lines 101, 102, 103, 104, respectively, a plurality of lines L21, L22, L23, L24 electromagnetically connected to plurality of superconducting lines 101, 102, 103, 104, respectively, and a plurality of read circuits R1, R2, R3, R4 electromagnetically connected to the plurality of superconducting lines, respectively, each first line is configured so as to be capable of receiving an input signal individually, and each reading circuit is configured so as to be capable of outputting a read signal based on the state of the quantum bit of the corresponding superconducting line.",3
"QUANTUM CIRCUIT, QUANTUM COMPUTING ELEMENT, QUANTUM COMPUTING SYSTEM, AND QUANTUM COMPUTING METHOD",quantum-computing,2024,AIST,"Provided is a quantum circuit, a quantum computing element, a quantum computing system, and a quantum computing method with which physical reservoir computing with high learning efficiency becomes possible. A quantum circuit 100 includes a plurality of superconducting lines 101, 102, 103, 104 that form quantum bits in accordance with an electromagnetic state thereof, and that interact with each other, a plurality of lines L11, L12, L13, L14 that are electromagnetically coupled, respectively, to the plurality of superconducting lines 101, 102, 103, 104, a plurality of lines L21, L22, L23, L24 that are electromagnetically coupled, respectively, to the plurality of superconducting lines 101, 102, 103, 104, and a plurality of readout circuits R1, R2, R3, R4 that are electromagnetically coupled, respectively, to the plurality of superconducting lines, wherein each first line is configured to be capable of receiving an input signal individually, and each readout circuit is configured to be capable of outputting a readout signal based on the state of the quantum bits of the corresponding superconducting line.",3
"QUANTUM COMPUTING DEVICE, QUANTUM COMPUTING SYSTEM, QUANTUM COMPUTING METHOD, AND PROGRAM",quantum-computing,2023,NIPPON TELEGRAPH & TELEPHONE,"This quantum computing device in a quantum computing system where a plurality of quantum computing devices connected to a network perform quantum secret calculations in cooperation with one another comprises: a sharing unit that applies double encoding to an input quantum state with a triply-even CSS quantum error correction code, and shares the encoded information obtained through encoding with other quantum computing devices; a verification unit that verifies whether the encoded information is correctly encoded; a computation unit that applies a quantum circuit to the encoded information; and a reconstruction unit that acquires an output quantum state that is the result of applying the quantum circuit to the input quantum state.",3
"QUANTUM COMPUTING SYSTEM, QUANTUM COMPUTING DEVICE, QUANTUM COMPUTING METHOD, AND PROGRAM",quantum-computing,2024,NIPPON TELEGRAPH & TELEPHONE,A quantum computing system according to one aspect of the present disclosure includes a plurality of quantum computing devices. The quantum computing devices each include: a sharing unit that shares a two-qubit state in which fidelity between an error and a Bell state is equal to a prescribed value or greater with respect to another quantum computing device; a Twirling operation unit that performs a Twirling operation on the two-qubit state so as to achieve a prescribed state; an error rate estimation unit that estimates an error rate for the prescribed state; a quantum circuit execution unit that executes a quantum circuit including a non-local CNOT gate realized by an LOCC operation with respect to the prescribed state; and an error removal unit that removes an error of the non-local CNOT gate on the basis of the error rate.,7
"QUANTUM DEVICE, QUANTUM COMPUTING APPARATUS, AND QUANTUM COMPUTING METHOD",quantum-computing,2023,FUJITSU LTD,This quantum computing device comprises: three first optical waveguides by which qubits are to be connected; a second optical waveguide; a beam splitter; first optical switches that are provided to the respective three first optical waveguides and that conduct switching of optical connection and disconnection between the second optical waveguide and the first optical waveguides; and a second optical switch that conducts switching of optical connection and disconnection between the second optical waveguide and the beam splitter.,5
QUANTUM COMPUTING DEVICE AND QUANTUM COMPUTING METHOD,quantum-computing,2025,NIPPON TELEGRAPH & TELEPHONE,To provide a quantum computing device that provides technology that can efficiently simulate a large-scale quantum computing task using a small-scale quantum computer.SOLUTION: A quantum computing device according to one aspect of the present disclosure having a continuous quantum computer that utilizes a quantum mode includes: an input unit that inputs a description of a first quantum circuit expressing a program of quantum computing using the quantum mode and a list of controlled phase gates to be divided in the first quantum circuit; a division unit that divides the first quantum circuit into a plurality of second quantum circuits by dividing the controlled phase gate; and an execution unit that calculates a calculation result of the first quantum circuit by causing the quantum computer to execute the plurality of second quantum circuits.SELECTED DRAWING: Figure 4,1
QUANTUM COMPUTING,quantum-computing,2025,UNIVERSAL QUANTUM LTD,"There is provided an ion trap comprising a first current source, a first pair of parallel wires forming a plane and having a space therebetween, each of the wires being connected to the first current source such that current flows in opposite directions along each of the parallel wires, a second current source; and a second pair of parallel wires arranged in the plane of the first pair of parallel wires and in the space between the first pair of parallel wires and being substantially perpendicular to the first pair of wires, each of the second pair of wires being connected to the second current source such that each of the second pair current flows in opposite directions along each of the second pair of parallel wires.",8
QUANTUM COMPUTING,quantum-computing,2023,"QUANTUM SOURCE LABS LTD,,YEDA RES & DEV","A quantum computing system includes a first silicon nitride resonator couplable to a first alkali atom, a second silicon resonator couplable to a second alkali atom, and lasers for trapping, cooling, and manipulating the first alkali atom and the second alkali atom. Detectors detect a presence of the trapped first alkali atom and the trapped second alkali atom, and a processor is configured to receive at least one input signal from at least one of the detectors, the input signal indicating a presence of the trapped first alkali atom and the trapped second alkali atom. Based on the received input, the processor controls at least some of the lasers to manipulate at least one of the trapped atoms to thereby generate photonic qubits or generate entanglement between photonic qubits.",3
"QUANTUM DEVICE, QUANTUM COMPUTING DEVICE, AND QUANTUM COMPUTING METHOD",quantum-computing,2024,FUJITSU LTD,A quantum device includes: three first optical waveguides to which a quantum bit is coupled; a second optical waveguide; a beam splitter; a first optical switch that is provided to each of the three first optical waveguides and conducts switching between optical connection and disconnection between the first optical waveguide and the second optical waveguide; and a second optical switch that conducts switching between optical connection and disconnection between the second optical waveguide and the beam splitter.,2
QUANTUM COMPUTING,quantum-computing,2024,UNIVERSAL QUANTUM LTD,"According to the invention, there is provided a timing system for an ion trap quantum computer comprising a clock outputting a timing signal of period t, a plurality of delay lines coupled to the clock and each configured to input a different delay of less than t and a delay selection mechanism configured to select the delay wherein the delay by each of the delay lines is a different fraction of the period t.",9
Quantum computing,quantum-computing,2024,"QUANTUM SOURCE LABS INC,,YEDA RES & DEV","A quantum computing system includes: a plurality of photon cavities; a plurality of coupling positions for positioning the quantum emitters, each coupling position being associated with a different one of the plurality of photon cavities, where the quantum emitter associated with each coupling position is configured to mediate interaction between continuously incident photon qubits to generate a pattern state; a photon generator configured to supply photons to the plurality of photon cavities, where the photon cavities are configured to couple photon qubits to the quantum emitter; and a plurality of photon output channels located downstream of the plurality of cavities to output the pattern states.",8
"QUANTUM DEVICE, QUANTUM COMPUTING APPARATUS, AND QUANTUM COMPUTING METHOD",quantum-computing,2024,FUJITSU LTD,"A quantum device includes three first optical waveguides to which a quantum bit is coupled, a second optical waveguide, a beam splitter, a first optical switch that is provided to each of the three first optical waveguides and conducts switching between optical connection and disconnection between the first optical waveguide and the second optical waveguide, and a second optical switch that conducts switching between optical connection and disconnection between the second optical waveguide and the beam splitter.",2
"QUANTUM COMPUTING DEVICE, QUANTUM COMPUTING ARRANGEMENT, QUANTUM COMPUTER AND METHOD FOR OPERATING A QUANTUM COMPUTING DEVICE",quantum-computing,2024,ELEQTRON GMBH,"In at least one embodiment, the quantum computing device (100) comprises a substrate (1) and a resonator electrode (2) fixed to the substrate. The quantum computing device is configured to realize a planar Paul trap for trapping at least one ion (6). Components of the quantum computing device which constitute electrodes (20 to 25) of the planar Paul trap for producing an electrical trapping potential are arranged on a top side (10) of the substrate. The resonator electrode has a plurality of windings and is configured as a resonator for an electromagnetic wave having a resonance frequency. When supplied with an alternating electrical signal having the resonance frequency, the resonator electrode generates an oscillating magnetic field at the position of the at least one trapped ion in order to induce a transition in the trapped ion.",7
"Quantum computing device, quantum computing apparatus, quantum computer, and method for operating quantum computing device",quantum-computing,2025,ELEKTRON CO LTD,"In at least one embodiment, a quantum computing device (100) includes a substrate (1) and a resonator electrode (2) fixed to the substrate. The quantum computing device is configured to implement a planar Porro trap for capturing at least one ion (6). Components of the quantum computing device forming electrodes (20 to 25) of a planar Porro trap for generating an electrically trapping potential are arranged on the top side (10) of the substrate. The resonator electrode has a plurality of coils and is configured as a resonator for electromagnetic waves having a resonant frequency. When provided with an alternating electrical signal having a resonant frequency, the resonator electrode generates an oscillating magnetic field at the location of at least one trapped ion to induce a transition in the trapped ion.",8
"QUANTUM COMPUTING DEVICE, QUANTUM COMPUTING ARRANGEMENT, QUANTUM COMPUTER AND METHOD FOR OPERATING A QUANTUM COMPUTING DEVICE",quantum-computing,2025,ELEQTRON GMBH,,5
"QUANTUM PROCESSING CIRCUIT, QUANTUM COMPUTING SYSTEM AND QUANTUM COMPUTING ARRANGEMENT",quantum-computing,2025,IQM FINLAND OY,"A quantum processing circuit comprising a substrate and a resonator arranged in the substrate body. The resonator is arranged at a distance, in the z-direction, from circuit elements on the first surface of the substrate. The resonator extends in the z-direction from a surface of the substrate into the substrate body and toward the circuit elements.",2
Quantum computer operating system and quantum computer,quantum-computing,2023,ORIGIN QUANTUM COMPUTING TECH CO LTD,"The invention discloses a quantum computer operating system and a quantum computer.The quantum computer operating system comprises a quantum computing task receiving module, a quantum computing task priority processing module, a quantum computing task merging module, a quantum chip resource allocation service module and a quantum computing task scheduling and mapping module, the quantum computing task priority processing module divides respective priorities of the quantum computing tasks in the quantum computing task queue according to the depths of the quantum computing tasks, the number of needed quantum bits and the waiting time in the quantum computing task queue, and when quantum chip resources cannot meet the requirement for simultaneous execution of all tasks, the quantum computing tasks in the quantum computing task queue are processed according to the priorities of the quantum computing tasks in the quantum computing task queue. The quantum computing tasks with high priorities are executed preferentially, so that the utilization rate of quantum bits in a quantum chip is improved, and the total waiting time of the quantum computing tasks in a quantum computing task queue is effectively shortened.",3
Quantum computing resource management system and quantum computer,quantum-computing,2024,ORIGIN QUANTUM COMPUTING TECH HEFEI CO LTD,"The invention discloses a quantum computing resource management system and a quantum computer.The system comprises a quantum computing task scheduling module and a quantum computing resource allocation module which are in communication connection, and the quantum computing task scheduling module is used for receiving quantum computing tasks and allocating the quantum computing tasks to the quantum computing resource allocation module; the quantum computing resource management system comprises a quantum computing resource management module used for scheduling a quantum computing task and executing a scheduling strategy corresponding to the scheduling demand according to the scheduling demand of the quantum computing task, and the quantum computing resource allocation module is used for obtaining and locking target quantum computing resources needed by the quantum computing task and releasing the target quantum computing resources when execution of the quantum computing task is completed. The problems of scheduling of multiple quantum computing tasks and multiple quantum processors, allocation of quantum computing resources and priority dynamic adjustment of the quantum computing tasks are solved, and development of the quantum computing technology is effectively promoted.",8
Quantum computing cloud platform and quantum computing method,quantum-computing,2023,"UNIV SCIENCE & TECHNOLOGY CHINA,,JINAN INSTITUTE OF QUANTUM TECHNOLOGY","The invention provides a quantum computing cloud platform and a quantum computing method, and relates to the technical field of quantum computing, and the quantum computing cloud platform comprises a website front end which is used for providing a user management interface, an information management interface and an experiment management interface; the website rear end is used for responding to the requirements of user management, information management and experiment management; the function service module is connected with the website rear end and is used for being responsible for services related to quantum computing; and the agent module is connected with the function service module and is used for packaging the quantum computers so as to provide a unified calling interface of the quantum computers for a user, performing task queue management on the quantum computers and scheduling the quantum computing tasks. According to the quantum computing cloud platform, a unified calling interface is provided for a user, a complete machine calling interface is provided for a third-party website, unified access of multiple quantum computers is achieved, the expansibility and universality of the cloud platform are greatly improved, all functional modules are separated and decoupled, and all kinds of development are more targeted.",4
"Quantum computing server, quantum computing service method, quantum computing service system, quantum computing service equipment and medium",quantum-computing,2025,ORIGIN QUANTUM COMPUTING TECH HEFEI CO LTD,"The invention provides a quantum computing server, a quantum computing service method, a quantum computing service system, a quantum computing device and a medium, the quantum computing server is configured to execute a preprocessing operation including a quantum circuit generation operation, and/or a post-processing operation including a data processing operation of a measurement result, therefore, the quantum computing server and the quantum operating system jointly execute the preprocessing operation and the post-processing operation. Through introduction of the quantum computing server, kernel design of the quantum operating system is simplified, and maintenance is facilitated; in addition, the kernel operation stability of the quantum operation system is improved; in addition, the business can be expanded in the quantum computing server without affecting the kernel of the quantum operating system. And if the performance of the kernel host of the quantum operating system has a bottleneck, the computing service can be entrusted to other hosts, so that the capacity of the kernel of the quantum operating system for dealing with massive tasks is improved.",3
"QUANTUM COMPUTING DEVICE, QUANTUM COMPUTING METHOD, AND PROGRAM",quantum-computing,2025,NIPPON TELEGRAPH & TELEPHONE,This quantum computing device is provided with: an expectation value calculation unit that uses a hybrid tensor network method to calculate an expectation value of a physical quantity with respect to a quantum state; and a noise removal unit that uses a coefficient based on the probability of noise being generated in the quantum state to calculate an error suppressed expectation value obtained by removing the influence of noise from the expectation value.,1
"QUANTUM COMPUTING DEVICE, QUANTUM COMPUTING METHOD, AND PROGRAM",quantum-computing,2025,NIPPON TELEGRAPH & TELEPHONE,"A quantum computing device according to one aspect of the present disclosure simulates a composite system of a first quantum system and a second quantum system, the quantum computing device comprising: an approximation calculation unit that calculates a first quantum state representing an approximation of a ground state of a local Hamiltonian of the first quantum system and a second quantum state representing an approximation of a ground state of a local Hamiltonian of the second quantum system; a formularization unit that formulates a formula to virtually obtain a density matrix that minimizes the expected value of the Hamiltonian of the composite system using the first quantum state and the second quantum state; an optimal solution calculation unit that calculates an optimal solution to the formula using a dual virtual distillation method for the first quantum state and the second quantum state, a measurement related to the product of the Pauli operators acting on the first quantum system, and a measurement related to the product of the Pauli operators acting on the second quantum system; and a density matrix calculation unit that calculates the density matrix using the formula and the optimal solution.",5
"QUANTUM COMPUTING DEVICE, QUANTUM COMPUTING METHOD, AND PROGRAM",quantum-computing,2024,NIPPON TELEGRAPH & TELEPHONE,"This quantum computing device is provided with: a state creation unit that creates a non-physical state corresponding to a quantum state obtained by applying, to a quantum state for which an error has been received during state preparation, a projection operator to a code space of a rotationally symmetric bosonic code; and a quantum computing unit that performs a quantum algorithm using the non-physical state as an input and calculates an expected value of a physical quantity.",5
"Calculation result determination system, method and device and block chain network",quantum-computing,2024,SHANDONG YUNHAI GUOCHUANG CLOUD COMPUTING EQUIPMENT IND INNOVATION CENTER CO LTD,"The embodiment of the invention provides a calculation result determination system, method and device and a block chain network, and relates to the field of quantum computing, and the calculation result determination system comprises the steps that a quantum computing platform decomposes a quantum computing service, and determines a quantum computing node corresponding to each quantum computing sub-service; constructing a quantum service block chain network corresponding to the quantum computing service, and constructing a quantum computing execution block chain network corresponding to each quantum computing node; each quantum computing node controls the quantum computing execution block chain network to execute quantum computing operation according to the computing instruction sent by the quantum computing adapter; and the quantum computing platform fuses the sub-computing results determined by each quantum computing execution block chain network so as to determine the computing result of the quantum computing business, through the above technology, the problem that in the related technology, for complex quantum computing businesses, execution of the quantum computing businesses fails when a single quantum computer is used for computing, and the computing result of the quantum computing businesses cannot be determined is solved. Or the execution efficiency is low.",9
"Quantum computing task scheduling method and device of quantum cloud platform, medium and equipment",quantum-computing,2023,"GUOKAI QIKE QUANTUM TECH ANHUI CO LTD,,QIKE QUANTUM TECH ZHUHAI CO LTD","The invention provides a quantum computing task scheduling method and device of a quantum cloud platform, a medium and equipment. The method comprises the following steps: obtaining a quantum computing resource list from one or more quantum cloud platforms; selecting quantum computing resources for a pre-created quantum computing line from the quantum computing resource list; generating a quantum computing task based on the quantum computing circuit and the quantum computing resource; sending the quantum computing task to a quantum cloud platform to which the quantum computing resource belongs; and obtaining an execution result of the quantum computing task from the quantum cloud platform. By applying the method and the system, a user can be helped to comprehensively manage various quantum computing resources of one or more quantum cloud platforms based on one quantum cloud platform, and the quantum computing tasks can be flexibly scheduled.",5
QUANTUM SERVICE AUTOSCALING,quantum-computing,2024,RED HAT INC,A first quantum computing device receives a first set of computational information that reflects a utilization of computing resources of a first quantum service in a first quantum computing system that exceeds a computing resources threshold. The computing resources of the first quantum service in the first quantum computing system are altered based on the first set of computational information. The first quantum computing device then determines that the utilization of computing resources of the first quantum service in the first quantum computing system continues to exceed the computing resources threshold. The first quantum computing device causes an initiation of a copy of the first quantum service onto a second quantum computing device in a second quantum computing system.,3
"QUANTUM COMPUTING ARRANGEMENT, QUANTUM COMPUTING SYSTEM COMPRISING A PLURALITY OF SAID QUANTUM COMPUTING ARRANGEMENTS AND METHOD OF IMPLEMENTING A QUANTUM ERROR CORRECTION CODE ON SAID QUANTUM COMPUTING ARRANGEMENT OR SYSTEM",quantum-computing,2025,IQM FINLAND OY,"The present invention is related to a quantum computing arrangement comprising a plurality of qubits, to a quantum computing system comprising a plurality of said quantum computing arrangements, to a method of implementing, on a quantum computing system, a quantum error correction code, said quantum computing system comprising the quantum computing arrangement, and to the use of a quantum computing system or a quantum computing arrangement for implementing a quantum error correction code.",4
Quantum computer operating system and quantum computer,quantum-computing,2023,ORIGIN QUANTUM COMPUTING TECH CO LTD,"The invention belongs to the field of quantum computing, and particularly discloses a quantum computer operating system and a quantum computer.The quantum computer operating system comprises a quantum computing task receiving module, a quantum computing task merging module, a quantum chip resource configuration service module and a quantum computing task mapping service module; the quantum computing task receiving module is used for receiving a quantum computing task queue and combining a plurality of quantum computing tasks with execution time meeting a preset requirement in the quantum computing task queue into an integral quantum computing task so as to obtain a quantum bit topological structure in a quantum chip based on the integral quantum computing task; and mapping the overall quantum computing task into the quantum bit topological structure so as to execute the overall quantum computing task. The utilization rate of quantum bit resources in the quantum chip is effectively improved, and meanwhile the influence of crosstalk on the execution result of the quantum calculation task can be reduced.",1
"Quantum computing execution method and system, electronic equipment and storage medium",quantum-computing,2023,SUZHOU INSPUR INTELLIGENT TECH CO LTD,"The invention discloses a quantum computing execution method and system, electronic equipment and a storage medium. Quantum computing execution can be safer, computing is optimal, the fault-tolerant capability is higher, data are safer, and computing is more automatic. The method comprises the steps that a quantum computing verification block chain network receives quantum computing tasks, sequential verification is carried out on the quantum computing tasks, and the quantum computing tasks are issued to a quantum computing consensus block chain network after verification is passed; the quantum computing consensus block chain network selects idle quantum computer nodes for voting consensus; if the voting consensus is passed, issuing the quantum computing task to a quantum computing execution block chain network; if the voting consensus is not passed, continuing to select a new idle quantum computer node for voting consensus again; and the quantum computing execution block chain network receives the quantum computing task, triggers an intelligent contract to execute quantum computing, generates a quantum computing result and outputs the quantum computing result to be stored and transmitted on a chain.",1
QUANTUM SERVICE CIRCUIT BREAKER,quantum-computing,2024,RED HAT INC,"A quantum computing device determines a plurality of quantum services executing on one or more quantum computing systems. The quantum computing device accesses a dependency map identifying dependency relationships between the plurality of quantum services. The quantum computing device determines computing resource sensitivities for at least some quantum services of the plurality of quantum services. The quantum computing device determines based on the computing resource sensitivities for a quantum service from among the plurality of quantum services that the quantum service exceeds a computing resource sensitivity threshold for the quantum service. The quantum computing device, in response to determining that the quantum service exceeds the computing resource sensitivity threshold, initiates an action based on priority rules.",2
MANAGING ACCESS TO QUANTUM SERVICES IN QUANTUM COMPUTING DEVICES,quantum-computing,2023,RED HAT INC,"Managing access to quantum services in quantum computing devices is disclosed herein. In one example, a processor device of a classical computing device identifies a quantum computing device communicatively coupled to the classical computing device, and obtains quantum computing device metadata for the quantum computing device. Based on the quantum computing device metadata, the processor device identifies one or more quantum services provided by the quantum computing device, and generates a quantum computing device (QCD) profile for the quantum computing device, a QCD access Application Programming Interface (API) for the quantum computing device, and one or more quantum service APIs corresponding to the one or more quantum services. In this manner, access to quantum service functionality by classical applications may be facilitated and managed.",6
"QUANTUM COMPUTING UNIT, SINGLE PHOTON SOURCE, QUANTUM COMPUTING DEVICE, AND QUANTUM COMPUTING METHOD",quantum-computing,2022,UNIV WASEDA,"In order to deterministically operate a quantum computing unit (13-m) in which a plurality of quantum systems are trapped, quantum computing is performed using a quantum computing unit including: a nano optical fiber (131-m) which is optically connected by way of a tapered portion to an optical fiber (12) through which incident photons propagate; and the plurality of quantum systems (132-m), which are arranged outside the nano optical fiber, and which are arranged spaced apart in the longitudinal direction of the nano optical fiber. However, at least any one of the quantum systems functions as a quantum bit that interacts with photons.",1
AUTOMATED QUANTUM CIRCUIT JOB SUBMISSION AND STATUS DETERMINATION,quantum-computing,2022,RED HAT INC,"Automated quantum circuit job submission and status determination is disclosed. A classical computing system receives a request to execute a quantum circuit that includes quantum program instructions that perform one or more quantum operations on one or more qubits. The classical computing system requests, from a first quantum computing system that includes a first set of quantum computing devices, metadata describing characteristics of the first set of quantum computing devices. The classical computing system determines, based on the quantum circuit and the metadata, a selected quantum computing device of the first set of quantum computing devices, and sends, to the first quantum computing system, quantum circuit information that identifies the quantum circuit and instructions to execute the quantum circuit on the selected quantum computing device.",5
MIGRATING QUANTUM SERVICES BASED ON TEMPERATURE THRESHOLDS,quantum-computing,2023,RED HAT INC,"Migrating quantum services based on temperature thresholds is disclosed herein. In one example, a first processor device of a first quantum computing device determines that a temperature of a second quantum computing device has exceeded a temperature threshold. The first processor device identifies a quantum service, executing on the second quantum computing device, for migration, and identifies a third quantum computing device of the quantum computing system as a migration destination for the quantum service. The first processor device of the first quantum computing device configures the second quantum computing device to place the quantum service in an inactive state, and transfers the quantum service from the second quantum computing device to the third quantum computing device. The first processor device then initiates execution of the quantum service on the third quantum computing device.",1
